Ind,Treatment,Trial,Date,Time,Size ,Weight,TubeFeet,SpineDec,LossOfAdhesion,Cage rotations,Colour,Ctmin,TubeProb,SpineProb,Trial,TrialTreat
1,12,1,17-Apr,11:25,39.51,21.18,17.9,22.5,25.3,2,B,2.4,1,1,Std,Std 12
2,12,1,17-Apr,11:25,41.1,27.56,19.7,23.9,25.9,2,LG,2.7,1,1,Std,Std 12
3,12,1,17-Apr,11:25,43.2,28.14,19.1,23.2,28,3,SP,2.9,1,1,Std,Std 12
4,12,1,17-Apr,11:25,39.65,20.54,20.8,NA,27.4,1,DG,NA,1,0,Std,Std 12
5,12,1,17-Apr,11:25,46.83,36.23,18.5,23.5,27.2,3,LP,2.7,1,1,Std,Std 12
6,12,3,17-Apr,15:19,44.63,28,18.4,22.2,26.5,2,PG,3.7,1,1,Std,Std 12
7,12,3,17-Apr,15:19,49.93,44.64,18.5,25.3,27.6,1,RG,2.7,1,1,Std,Std 12
8,12,3,17-Apr,15:19,41.28,29.43,19,25.5,28.4,1,BG,2.9,1,1,Std,Std 12
9,12,3,17-Apr,15:19,49.04,22.04,19.9,25,27.6,1,PR,1.6,1,1,Std,Std 12
10,12,3,17-Apr,15:19,44.5,16.1,18.5,25.4,27.8,1,BP,2.2,1,1,Std,Std 12
1,18,2,17-Apr,12:58,41,18.66,19.1,24.1,27.7,1,BP,4,1,1,Std,Std 18
2,18,2,17-Apr,13:58,40.3,23.67,18,24.7,28,1,PG,6.4,1,1,Std,Std 18
3,18,2,17-Apr,14:58,46.3,31.75,22.9,25.5,29.4,1,PP,5.4,1,1,Std,Std 18
4,18,2,17-Apr,15:58,49.8,19.27,21.1,24.7,28.1,3,BG,7.6,1,1,Std,Std 18
5,18,2,17-Apr,12:58,36.5,14.01,21.8,27.3,27.6,0,PR,6.5,1,1,Std,Std 18
6,18,4,17-Apr,16:00,40.3,23.67,20.2,25.6,27.9,1,SP,3.5,1,1,Std,Std 18
7,18,4,17-Apr,16:00,53.61,40.43,21.7,27.4,29.6,1,R,5.5,1,1,Std,Std 18
8,18,4,17-Apr,16:00,36.15,18.32,21.5,26.3,31.7,2,G,7.1,1,1,Std,Std 18
9,18,4,17-Apr,16:00,36.3,14.99,21.5,27,28.8,1,B,3.4,1,1,Std,Std 18
10,18,4,17-Apr,16:00,37.29,16.91,24.6,26.3,26.6,1,LP,5.4,1,1,Std,Std 18
1,18,1,14-Oct,09:30,,21.9,23.9,29.7,28.1,,,,1,1,Immune,Immune 18
2,18,1,14-Oct,09:30,,28.1,25.6,28.6,29.1,,,,1,1,Immune,Immune 18
3,18,1,14-Oct,09:30,,15.6,29.9,26.7,29.2,,,,1,1,Immune,Immune 18
4,18,1,14-Oct,09:30,,35.7,23.9,29.7,31,,,,1,1,Immune,Immune 18
5,18,1,14-Oct,09:30,,15.15,23.3,27.9,27.9,,,,1,1,Immune,Immune 18
6,18,4,14-Oct,01:30,,15.25,23.7,NA,31,,,,1,0,Immune,Immune 18
7,18,4,14-Oct,01:30,,24.6,22.1,NA,30,,,,1,0,Immune,Immune 18
8,18,4,14-Oct,01:30,,18.87,20.7,NA,31,,,,1,0,Immune,Immune 18
9,18,4,14-Oct,01:30,,34.44,25.1,NA,29.2,,,,1,0,Immune,Immune 18
10,18,4,14-Oct,01:30,,16.4,19.8,NA,28.8,,,,1,0,Immune,Immune 18
1,12,1,28-Oct,09:30,,26.5,18.5,24.1,28.5,,,,1,1,Immune,Immune 12
2,12,1,28-Oct,09:30,,21.9,21.8,23.2,31,,,,1,1,Immune,Immune 12
3,12,1,28-Oct,09:30,,25.6,19.4,NA,28.6,,,,1,0,Immune,Immune 12
4,12,1,28-Oct,09:30,,38.2,17.9,25.5,31,,,,1,1,Immune,Immune 12
5,12,1,28-Oct,01:30,,16.3,19.1,24.8,31,,,,1,1,Immune,Immune 12
6,12,4,28-Oct,01:30,,21.9,17,21.1,25.2,,,,1,1,Immune,Immune 12
7,12,4,28-Oct,01:30,,13.6,22.1,21.4,28.2,,,,1,1,Immune,Immune 12
8,12,4,28-Oct,01:30,,29,17,NA,25.2,,,,1,0,Immune,Immune 12
9,12,4,28-Oct,01:30,,49.9,19.9,23.9,31,,,,1,1,Immune,Immune 12
10,12,4,28-Oct,01:30,,12,22,26.6,27.8,,,,1,1,Immune,Immune 12
